"timestamp","relogoRun","boidBoidCollisions","boidObstacleCollisions","flocksMaxSize","flocksNumber"
0.0,0,0,0,0,0
1.0,1,2.0,0,63,9
2.0,1,1.0,0,55,9
3.0,1,1.0,0,46,16
4.0,1,1.0,0,50,13
5.0,1,2.0,0,47,14
6.0,1,1.0,0,42,14
7.0,1,0.0,0,42,15
8.0,1,0.0,0,44,14
9.0,1,3.0,0,44,14
10.0,1,2.0,1,44,14
11.0,1,5.0,1,44,14
12.0,1,3.0,0,44,12
13.0,1,4.0,0,44,11
14.0,1,6.0,0,44,11
15.0,1,6.0,0,45,11
16.0,1,6.0,0,44,8
17.0,1,8.0,0,45,7
18.0,1,6.0,0,54,7
19.0,1,5.0,0,63,7
20.0,1,4.0,0,75,6
21.0,1,4.0,0,90,4
22.0,1,5.0,0,90,4
23.0,1,5.0,0,90,3
24.0,1,8.0,0,90,3
25.0,1,5.0,0,90,2
26.0,1,8.0,0,90,2
27.0,1,8.0,0,90,2
28.0,1,8.0,0,90,2
29.0,1,9.0,0,100,1
30.0,1,6.0,0,100,1
31.0,1,6.0,0,100,1
32.0,1,6.0,0,100,1
33.0,1,6.0,0,100,1
34.0,1,6.0,0,100,1
35.0,1,6.0,0,82,4
36.0,1,7.0,0,82,4
37.0,1,8.0,0,82,4
38.0,1,7.0,0,82,4
39.0,1,10.0,0,82,4
40.0,1,7.0,1,82,4
41.0,1,9.0,1,82,4
42.0,1,9.0,1,96,3
43.0,1,8.0,2,96,3
44.0,1,11.0,2,96,3
45.0,1,11.0,0,96,3
46.0,1,8.0,0,95,4
47.0,1,9.0,0,86,4
48.0,1,6.0,0,72,5
49.0,1,10.0,0,72,5
50.0,1,9.0,0,72,5
51.0,1,10.0,0,72,5
52.0,1,8.0,0,73,4
53.0,1,15.0,0,68,5
54.0,1,11.0,0,82,4
55.0,1,14.0,0,43,5
56.0,1,20.0,0,60,5
57.0,1,35.0,0,60,5
58.0,1,35.0,0,43,6
59.0,1,26.0,0,43,6
60.0,1,21.0,0,43,6
61.0,1,27.0,0,43,7
62.0,1,26.0,0,60,6
63.0,1,33.0,0,60,6
64.0,1,34.0,0,60,6
65.0,1,36.0,0,55,6
66.0,1,43.0,0,60,5
67.0,1,31.0,0,60,5
68.0,1,48.0,0,44,5
69.0,1,40.0,0,44,5
70.0,1,50.0,0,44,5
71.0,1,49.0,0,44,5
72.0,1,36.0,0,44,5
73.0,1,28.0,0,44,5
74.0,1,17.0,0,44,5
75.0,1,31.0,2,44,5
76.0,1,28.0,2,44,5
77.0,1,26.0,0,62,4
1.0,2,3.0,0,100,1
2.0,2,3.0,0,100,1
3.0,2,1.0,0,100,1
4.0,2,4.0,0,100,1
5.0,2,4.0,0,100,1
6.0,2,5.0,0,100,1
7.0,2,8.0,0,58,3
8.0,2,9.0,0,91,2
9.0,2,11.0,0,91,2
10.0,2,18.0,0,91,2
11.0,2,20.0,0,58,3
12.0,2,23.0,0,58,3
13.0,2,38.0,0,100,1
14.0,2,27.0,0,100,1
15.0,2,28.0,0,100,1
16.0,2,20.0,1,100,1
17.0,2,39.0,0,55,2
18.0,2,32.0,0,55,2
19.0,2,33.0,0,100,1
20.0,2,13.0,1,100,1
21.0,2,10.0,0,100,1
22.0,2,9.0,0,100,1
23.0,2,12.0,0,100,1
24.0,2,9.0,0,100,1
25.0,2,6.0,0,100,1
26.0,2,21.0,0,100,1
27.0,2,17.0,0,100,1
28.0,2,10.0,0,100,1
29.0,2,29.0,0,100,1
30.0,2,15.0,0,100,1
31.0,2,13.0,0,100,1
32.0,2,20.0,0,100,1
33.0,2,22.0,0,100,1
0.0,3,0.0,0,100,1
1.0,3,0.0,1,41,2
2.0,3,0.0,1,41,3
3.0,3,1.0,0,50,1
4.0,3,1.0,0,50,1
5.0,3,0.0,0,50,1
6.0,3,0.0,0,49,2
7.0,3,0.0,0,49,2
8.0,3,0.0,0,48,3
9.0,3,0.0,0,48,3
10.0,3,0.0,0,48,3
11.0,3,0.0,0,46,4
12.0,3,0.0,0,46,4
13.0,3,0.0,0,46,4
14.0,3,0.0,0,46,4
15.0,3,0.0,0,48,3
16.0,3,0.0,0,48,3
17.0,3,2.0,0,48,3
18.0,3,3.0,0,49,2
19.0,3,3.0,0,45,3
20.0,3,3.0,0,45,3
21.0,3,2.0,0,45,3
22.0,3,3.0,0,40,4
23.0,3,3.0,0,40,4
24.0,3,4.0,0,21,5
25.0,3,2.0,0,21,5
26.0,3,5.0,0,25,4
27.0,3,3.0,0,21,5
28.0,3,4.0,0,21,4
29.0,3,4.0,0,25,3
30.0,3,5.0,0,25,3
31.0,3,3.0,0,25,3
32.0,3,4.0,0,25,3
33.0,3,5.0,0,25,3
34.0,3,2.0,0,25,2
35.0,3,1.0,0,25,2
36.0,3,1.0,0,25,2
37.0,3,1.0,0,25,2
38.0,3,2.0,0,25,2
39.0,3,1.0,0,25,2
40.0,3,1.0,0,25,2
41.0,3,1.0,0,25,2
42.0,3,1.0,0,25,2
43.0,3,1.0,0,25,2
44.0,3,3.0,0,25,2
45.0,3,4.0,0,25,2
46.0,3,4.0,0,25,2
47.0,3,3.0,0,25,2
48.0,3,4.0,0,25,2
49.0,3,4.0,0,25,2
50.0,3,3.0,0,25,2
51.0,3,3.0,0,25,2
52.0,3,6.0,0,25,2
53.0,3,6.0,0,50,1
54.0,3,6.0,0,50,1
55.0,3,8.0,0,50,1
56.0,3,5.0,0,50,1
57.0,3,8.0,0,50,1
58.0,3,7.0,0,50,1
59.0,3,5.0,0,50,1
60.0,3,6.0,0,50,1
61.0,3,4.0,0,50,1
62.0,3,3.0,0,50,1
63.0,3,1.0,0,50,1
64.0,3,2.0,0,50,1
65.0,3,4.0,0,50,1
66.0,3,5.0,0,50,1
67.0,3,10.0,0,50,1
68.0,3,6.0,0,50,1
69.0,3,10.0,0,50,1
70.0,3,7.0,0,50,1
71.0,3,8.0,0,50,1
72.0,3,13.0,1,50,1
73.0,3,10.0,0,50,1
74.0,3,15.0,0,50,1
75.0,3,11.0,0,50,1
76.0,3,9.0,0,50,1
77.0,3,6.0,0,50,1
78.0,3,8.0,0,30,2
79.0,3,9.0,0,30,2
80.0,3,11.0,0,30,2
81.0,3,6.0,0,30,2
82.0,3,10.0,0,30,2
83.0,3,7.0,0,30,2
84.0,3,11.0,0,30,2
85.0,3,11.0,0,30,2
86.0,3,20.0,0,30,2
87.0,3,16.0,0,30,2
88.0,3,15.0,0,30,2
89.0,3,14.0,0,30,2
90.0,3,11.0,0,30,2
91.0,3,13.0,0,30,2
92.0,3,11.0,0,30,2
93.0,3,14.0,0,30,2
94.0,3,15.0,0,30,2
95.0,3,12.0,0,30,2
96.0,3,17.0,0,30,2
97.0,3,20.0,0,30,2
98.0,3,23.0,0,30,2
99.0,3,30.0,0,30,2
100.0,3,27.0,0,30,2
101.0,3,19.0,0,30,2
102.0,3,15.0,0,30,2
103.0,3,13.0,0,30,2
104.0,3,12.0,0,30,2
105.0,3,11.0,0,30,2
106.0,3,10.0,0,30,2
107.0,3,10.0,0,30,2
108.0,3,16.0,0,50,1
109.0,3,13.0,0,50,1
110.0,3,16.0,0,50,1
111.0,3,15.0,0,50,1
112.0,3,12.0,0,50,1
113.0,3,11.0,0,50,1
114.0,3,14.0,0,50,1
115.0,3,12.0,0,50,1
116.0,3,17.0,0,50,1
117.0,3,18.0,0,50,1
118.0,3,19.0,0,30,2
119.0,3,17.0,0,30,2
120.0,3,22.0,0,30,2
121.0,3,19.0,0,30,2
122.0,3,24.0,0,30,2
123.0,3,18.0,0,30,2
124.0,3,23.0,0,30,2
125.0,3,19.0,0,30,2
126.0,3,22.0,0,30,2
127.0,3,22.0,0,30,2
128.0,3,24.0,0,30,2
129.0,3,28.0,0,30,2
130.0,3,36.0,0,30,2
131.0,3,49.0,0,30,2
132.0,3,40.0,0,30,2
133.0,3,38.0,0,30,2
134.0,3,33.0,0,30,2
135.0,3,30.0,0,30,2
136.0,3,21.0,0,30,2
137.0,3,14.0,0,30,2
138.0,3,11.0,0,30,2
139.0,3,8.0,0,30,2
140.0,3,5.0,0,30,2
141.0,3,5.0,0,30,2
142.0,3,4.0,0,30,2
143.0,3,4.0,0,30,2
144.0,3,4.0,0,30,2
145.0,3,10.0,0,30,2
146.0,3,7.0,0,30,2
147.0,3,6.0,0,30,2
148.0,3,9.0,0,30,2
149.0,3,6.0,0,30,2
150.0,3,7.0,0,30,2
151.0,3,6.0,0,30,2
