"timestamp","RelogoRun","remainingHumans","remainingZombies"
0.0,0,0,0
1.0,1,50,5
2.0,1,50,5
4.0,1,50,5
5.0,1,50,5
6.0,1,49,6
7.0,1,48,7
8.0,1,48,7
9.0,1,46,9
10.0,1,46,9
11.0,1,45,10
12.0,1,44,11
13.0,1,44,11
14.0,1,44,11
15.0,1,43,12
16.0,1,41,14
17.0,1,41,14
18.0,1,39,16
19.0,1,39,16
20.0,1,39,16
21.0,1,39,16
22.0,1,36,19
23.0,1,35,20
24.0,1,35,20
25.0,1,34,21
26.0,1,34,21
27.0,1,33,22
28.0,1,33,22
29.0,1,33,22
30.0,1,33,22
31.0,1,32,23
32.0,1,32,23
33.0,1,31,24
34.0,1,31,24
35.0,1,31,24
36.0,1,31,24
37.0,1,31,24
38.0,1,31,24
39.0,1,29,26
40.0,1,29,26
41.0,1,29,26
42.0,1,29,26
43.0,1,29,26
44.0,1,29,26
45.0,1,28,27
46.0,1,28,27
47.0,1,28,27
48.0,1,26,29
49.0,1,26,29
50.0,1,26,29
51.0,1,26,29
52.0,1,24,31
53.0,1,23,32
54.0,1,23,32
55.0,1,23,32
56.0,1,23,32
57.0,1,23,32
58.0,1,23,32
59.0,1,22,33
60.0,1,22,33
61.0,1,21,34
62.0,1,20,35
63.0,1,19,36
64.0,1,19,36
65.0,1,19,36
66.0,1,18,37
67.0,1,17,38
68.0,1,17,38
69.0,1,17,38
70.0,1,17,38
71.0,1,17,38
72.0,1,17,38
73.0,1,17,38
74.0,1,17,38
75.0,1,17,38
76.0,1,17,38
77.0,1,17,38
78.0,1,17,38
79.0,1,17,38
80.0,1,16,39
81.0,1,16,39
82.0,1,15,40
83.0,1,15,40
84.0,1,15,40
85.0,1,15,40
86.0,1,15,40
87.0,1,15,40
88.0,1,15,40
89.0,1,15,40
90.0,1,15,40
91.0,1,15,40
92.0,1,15,40
93.0,1,15,40
94.0,1,14,41
95.0,1,13,42
96.0,1,13,42
97.0,1,13,42
98.0,1,12,43
99.0,1,12,43
100.0,1,12,43
101.0,1,12,43
102.0,1,11,44
103.0,1,11,44
104.0,1,11,44
105.0,1,11,44
106.0,1,11,44
107.0,1,11,44
108.0,1,11,44
109.0,1,11,44
110.0,1,10,45
111.0,1,10,45
112.0,1,10,45
113.0,1,10,45
114.0,1,10,45
115.0,1,9,46
116.0,1,9,46
117.0,1,9,46
118.0,1,9,46
119.0,1,9,46
120.0,1,9,46
121.0,1,9,46
122.0,1,8,47
123.0,1,8,47
124.0,1,7,48
125.0,1,7,48
126.0,1,6,49
127.0,1,6,49
128.0,1,6,49
129.0,1,6,49
130.0,1,6,49
131.0,1,5,50
132.0,1,5,50
133.0,1,5,50
134.0,1,5,50
135.0,1,5,50
136.0,1,4,51
137.0,1,4,51
138.0,1,3,52
139.0,1,3,52
140.0,1,3,52
141.0,1,2,53
142.0,1,2,53
143.0,1,1,54
144.0,1,1,54
145.0,1,1,54
146.0,1,1,54
147.0,1,1,54
148.0,1,1,54
149.0,1,1,54
150.0,1,1,54
151.0,1,0,55
152.0,1,0,55
153.0,1,0,55
154.0,1,0,55
155.0,1,0,55
156.0,1,0,55
157.0,1,0,55
158.0,1,0,55
159.0,1,0,55
160.0,1,0,55
161.0,1,0,55
162.0,1,0,55
163.0,1,0,55
164.0,1,0,55
165.0,1,0,55
166.0,1,0,55
167.0,1,0,55
168.0,1,0,55
169.0,1,0,55
170.0,1,0,55
171.0,1,0,55
172.0,1,0,55
173.0,1,0,55
174.0,1,0,55
175.0,1,0,55
176.0,1,0,55
177.0,1,0,55
178.0,1,0,55
179.0,1,0,55
180.0,1,0,55
181.0,1,0,55
182.0,1,0,55
183.0,1,0,55
184.0,1,0,55
185.0,1,0,55
186.0,1,0,55
