"timestamp","RelogoRun","remainingHumans","remainingZombies"
0.0,0,0,0
1.0,1,50,5
2.0,1,50,5
3.0,1,50,5
4.0,1,50,5
5.0,1,50,5
6.0,1,50,5
7.0,1,50,5
8.0,1,50,5
9.0,1,50,5
10.0,1,50,5
11.0,1,50,5
12.0,1,50,5
13.0,1,50,5
14.0,1,50,5
15.0,1,50,5
16.0,1,50,5
17.0,1,50,5
18.0,1,48,7
19.0,1,47,8
20.0,1,45,10
21.0,1,45,10
22.0,1,45,10
23.0,1,44,11
24.0,1,43,12
25.0,1,43,12
26.0,1,43,12
27.0,1,43,12
28.0,1,42,13
29.0,1,42,13
30.0,1,42,13
31.0,1,42,13
32.0,1,42,13
33.0,1,42,13
34.0,1,41,14
35.0,1,41,14
36.0,1,39,16
37.0,1,38,17
38.0,1,38,17
39.0,1,37,18
40.0,1,37,18
41.0,1,37,18
42.0,1,35,20
43.0,1,35,20
44.0,1,35,20
45.0,1,35,20
46.0,1,34,21
47.0,1,34,21
48.0,1,33,22
49.0,1,32,23
50.0,1,32,23
51.0,1,32,23
52.0,1,32,23
53.0,1,30,25
54.0,1,30,25
55.0,1,29,26
56.0,1,29,26
57.0,1,28,27
58.0,1,28,27
59.0,1,28,27
60.0,1,28,27
61.0,1,26,29
62.0,1,25,30
63.0,1,25,30
64.0,1,25,30
65.0,1,25,30
66.0,1,24,31
67.0,1,24,31
68.0,1,23,32
69.0,1,23,32
70.0,1,21,34
71.0,1,20,35
72.0,1,19,36
73.0,1,19,36
74.0,1,18,37
75.0,1,17,38
76.0,1,17,38
77.0,1,17,38
78.0,1,17,38
79.0,1,17,38
80.0,1,17,38
81.0,1,16,39
82.0,1,15,40
83.0,1,14,41
84.0,1,13,42
85.0,1,11,44
86.0,1,10,45
87.0,1,10,45
88.0,1,10,45
89.0,1,10,45
90.0,1,10,45
91.0,1,9,46
92.0,1,9,46
93.0,1,9,46
94.0,1,9,46
95.0,1,9,46
96.0,1,9,46
97.0,1,9,46
98.0,1,9,46
99.0,1,9,46
100.0,1,9,46
101.0,1,8,47
102.0,1,7,48
103.0,1,7,48
104.0,1,7,48
105.0,1,7,48
106.0,1,7,48
107.0,1,7,48
108.0,1,7,48
109.0,1,7,48
110.0,1,7,48
111.0,1,7,48
112.0,1,7,48
113.0,1,7,48
114.0,1,7,48
115.0,1,7,48
116.0,1,6,49
117.0,1,5,50
118.0,1,5,50
119.0,1,4,51
120.0,1,4,51
121.0,1,4,51
122.0,1,3,52
123.0,1,3,52
124.0,1,3,52
125.0,1,3,52
126.0,1,3,52
127.0,1,3,52
128.0,1,3,52
129.0,1,3,52
130.0,1,3,52
131.0,1,3,52
132.0,1,3,52
133.0,1,3,52
134.0,1,3,52
135.0,1,3,52
136.0,1,3,52
137.0,1,3,52
138.0,1,3,52
139.0,1,1,54
140.0,1,1,54
141.0,1,1,54
142.0,1,1,54
143.0,1,1,54
144.0,1,1,54
145.0,1,1,54
146.0,1,1,54
147.0,1,1,54
148.0,1,1,54
149.0,1,1,54
150.0,1,1,54
151.0,1,0,55
152.0,1,0,55
153.0,1,0,55
154.0,1,0,55
155.0,1,0,55
156.0,1,0,55
157.0,1,0,55
158.0,1,0,55
159.0,1,0,55
160.0,1,0,55
161.0,1,0,55
162.0,1,0,55
163.0,1,0,55
164.0,1,0,55
165.0,1,0,55
166.0,1,0,55
167.0,1,0,55
168.0,1,0,55
169.0,1,0,55
170.0,1,0,55
171.0,1,0,55
172.0,1,0,55
173.0,1,0,55
174.0,1,0,55
175.0,1,0,55
176.0,1,0,55
177.0,1,0,55
178.0,1,0,55
179.0,1,0,55
180.0,1,0,55
181.0,1,0,55
182.0,1,0,55
183.0,1,0,55
184.0,1,0,55
185.0,1,0,55
